Sander Westerveld
Stéphane Henchoz
Christian Ziege
Markus Babbel
Vladimír Šmicer
Emile Heskey
Robbie Fowler
Michael Owen
Jamie Redknapp
Sami Hyypiä
Danny Murphy
Vegard Heggem
Patrik Berger
Dietmar Hamann
Steven Gerrard
Pegguy Arphexad
Nick Barmby
Gary McAllister
Jamie Carragher
Bernard Diomède
Jørgen Nielsen
Grégory Vignal
Richie Partridge
Stephen Wright
Djimi Traoré
Frode Kippe
Alan Navarro
Jari Litmanen
Rigobert Song
Steve Staunton
Erik Meijer
Titi Camara
Jon Newby
Brad Friedel
