Stéphane Henchoz
Abel Xavier
Sami Hyypiä
Milan Baroš
Markus Babbel
Vladimír Šmicer
Emile Heskey
Nicolas Anelka
Michael Owen
Jamie Redknapp
Jerzy Dudek
Danny Murphy
Patrik Berger
Dietmar Hamann
Steven Gerrard
John Arne Riise
Pegguy Arphexad
Nick Barmby
Gary McAllister
Chris Kirkland
Jamie Carragher
Bernard Diomède
Grégory Vignal
Stephen Wright
Djimi Traoré
Jari Litmanen
Sander Westerveld
Robbie Fowler
Frode Kippe
John Miles
Alan Navarro
Vegard Heggem
Jørgen Nielsen
Richie Partridge
Daniel Sjölund
Steve McNulty
Jon Otsemobor
Stephen Warnock
Mark Peers
John Welsh
Neil Mellor
