Jerzy Dudek
Stéphane Henchoz
Abel Xavier
Sami Hyypiä
Milan Baroš
Markus Babbel
Vladimír Šmicer
Emile Heskey
El Hadji Diouf
Michael Owen
Danny Murphy
Vegard Heggem
Patrik Berger
Dietmar Hamann
Steven Gerrard
John Arne Riise
Pegguy Arphexad
Salif Diao
Chris Kirkland
Jamie Carragher
Bernard Diomède
Richie Partridge
Grégory Vignal
Bruno Cheyrou
Djimi Traoré
Alou Diarra
John Welsh
Neil Mellor
Daniel Sjölund
Stephen Warnock
Jon Otsemobor
Michael Foley-Sheridan
Patrice Luzi
Robbie Foy
Nick Barmby
Stephen Wright
Jari Litmanen
