Steve Finnan
Sami Hyypiä
Daniel Agger
John Arne Riise
Harry Kewell
Steven Gerrard
Fernando Torres
Andriy Voronin
Yossi Benayoun
Fábio Aurélio
Xabi Alonso
Peter Crouch
Jermaine Pennant
Álvaro Arbeloa
Dirk Kuyt
Ryan Babel
Javier Mascherano
Lucas Leiva
Mohamed Sissoko
Jamie Carragher
Pepe Reina
Charles Itandje
Sebastián Leto
Jay Spearing
Ray Putterill
Ryan Flynn
Martin Škrtel
Craig Lindfield
Stephen Darby
David Martin
Nabil El Zhar
Robbie Threlfall
Mikel San José
Jack Hobbs
Damien Plessis
Emiliano Insúa
David Martin
Dean Bouzanis
Péter Gulácsi
Stephen Darby
Robbie Threlfall
Mikel San José
Jack Hobbs
Emiliano Insúa
Ronald Huth
Daniel Ayala
Martin Kelly
Sebastián Leto
Jay Spearing
Ray Putterill
Ryan Flynn
Nabil El Zhar
Damien Plessis
Ryan Crowther
Francisco Durán
Gerardo Bruna
Craig Lindfield
Jordy Brouwer
Krisztián Németh
András Simon
Daniel Pacheco
